dataset_name,subset_name
GEM/wiki_lingua,en_ar
GEM/wiki_lingua,en_es
GEM/wiki_lingua,en_fr
GEM/wiki_lingua,en_hi
GEM/wiki_lingua,en_id
GEM/wiki_lingua,en_pt
GEM/wiki_lingua,en_vi
GEM/wiki_lingua,en_zh
GEM/wiki_lingua,es_ar
GEM/wiki_lingua,es_en
GEM/wiki_lingua,es_fr
GEM/wiki_lingua,es_hi
GEM/wiki_lingua,es_id
GEM/wiki_lingua,es_pt
GEM/wiki_lingua,es_vi
GEM/wiki_lingua,es_zh
GEM/wiki_lingua,fr_ar
GEM/wiki_lingua,fr_en
GEM/wiki_lingua,fr_es
GEM/wiki_lingua,fr_hi
GEM/wiki_lingua,fr_id
GEM/wiki_lingua,fr_pt
GEM/wiki_lingua,fr_vi
GEM/wiki_lingua,fr_zh
GEM/wiki_lingua,hi_ar
GEM/wiki_lingua,hi_en
GEM/wiki_lingua,hi_es
GEM/wiki_lingua,hi_fr
GEM/wiki_lingua,hi_id
GEM/wiki_lingua,hi_pt
GEM/wiki_lingua,hi_vi
GEM/wiki_lingua,hi_zh
GEM/wiki_lingua,id_ar
GEM/wiki_lingua,id_en
GEM/wiki_lingua,id_es
GEM/wiki_lingua,id_fr
GEM/wiki_lingua,id_hi
GEM/wiki_lingua,id_pt
GEM/wiki_lingua,id_vi
GEM/wiki_lingua,id_zh
GEM/wiki_lingua,pt_ar
GEM/wiki_lingua,pt_en
GEM/wiki_lingua,pt_es
GEM/wiki_lingua,pt_fr
GEM/wiki_lingua,pt_hi
GEM/wiki_lingua,pt_id
GEM/wiki_lingua,pt_vi
GEM/wiki_lingua,pt_zh
GEM/wiki_lingua,vi_ar
GEM/wiki_lingua,vi_en
GEM/wiki_lingua,vi_es
GEM/wiki_lingua,vi_fr
GEM/wiki_lingua,vi_hi
GEM/wiki_lingua,vi_id
GEM/wiki_lingua,vi_pt
GEM/wiki_lingua,vi_zh
GEM/wiki_lingua,zh_ar
GEM/wiki_lingua,zh_en
GEM/wiki_lingua,zh_es
GEM/wiki_lingua,zh_fr
GEM/wiki_lingua,zh_hi
GEM/wiki_lingua,zh_id
GEM/wiki_lingua,zh_pt
GEM/wiki_lingua,zh_vi
allenai/wmt22_african,eng-ibo
allenai/wmt22_african,eng-kin
allenai/wmt22_african,eng-lin
allenai/wmt22_african,eng-lug
allenai/wmt22_african,eng-nso
allenai/wmt22_african,eng-nya
allenai/wmt22_african,eng-sna
allenai/wmt22_african,eng-swh
allenai/wmt22_african,eng-tsn
allenai/wmt22_african,eng-tso
allenai/wmt22_african,eng-wol
allenai/wmt22_african,eng-xho
allenai/wmt22_african,eng-yor
allenai/wmt22_african,eng-zul
allenai/wmt22_african,fra-ibo
allenai/wmt22_african,fra-kin
allenai/wmt22_african,fra-lin
allenai/wmt22_african,fra-lug
allenai/wmt22_african,fra-nso
allenai/wmt22_african,fra-nya
allenai/wmt22_african,fra-swh
allenai/wmt22_african,fra-tsn
allenai/wmt22_african,fra-tso
allenai/wmt22_african,fra-wol
allenai/wmt22_african,fra-xho
allenai/wmt22_african,fra-zul
allenai/wmt22_african,ibo-kin
allenai/wmt22_african,ibo-lug
allenai/wmt22_african,ibo-nso
allenai/wmt22_african,ibo-nya
allenai/wmt22_african,ibo-sna
allenai/wmt22_african,ibo-swh
allenai/wmt22_african,ibo-tsn
allenai/wmt22_african,ibo-tso
allenai/wmt22_african,ibo-xho
allenai/wmt22_african,ibo-yor
allenai/wmt22_african,ibo-zul
allenai/wmt22_african,kin-lug
allenai/wmt22_african,kin-nso
allenai/wmt22_african,kin-nya
allenai/wmt22_african,kin-sna
allenai/wmt22_african,kin-swh
allenai/wmt22_african,kin-tsn
allenai/wmt22_african,kin-tso
allenai/wmt22_african,kin-xho
allenai/wmt22_african,kin-yor
allenai/wmt22_african,kin-zul
allenai/wmt22_african,lug-nso
allenai/wmt22_african,lug-nya
allenai/wmt22_african,lug-sna
allenai/wmt22_african,lug-swh
allenai/wmt22_african,lug-tsn
allenai/wmt22_african,lug-tso
